Keys,J,I,E,H,G,F,D,C,A,B,CJ,DJ,CI,CE,DG,DH,DE,DI,AJ,AH,AF,AI,AG,BG,BH,CF,BJ,BI,GH,DF,BE,CG,CH,BF,EF,CD,AD,AC,AB,BC,BD,BEF,ACD,CGH,ABC,ABD,BCD
J,1,0,0,0,0,0,0,0,0,0,0.34080717488789236,0.35949177877429,0.0,0.0,0.0,0.0,0.0,0.0,0.4312406576980568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328849028400597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.3582531458179127,0.0,0.0,0.0,0.0,0.36787564766839376,0.0,0.0,0.0,0.44411547002220575,0.0,0.0,0.0,0.0,0.0,0.5447816432272391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3441696113074205,0.0,0.0,0.3498233215547703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385159010600706,0.0,0.0,0.0,0.8296819787985866,0.0,0.0,0.0,0.0,0.0,0.0,0.415547703180212,0.0,0.0,0.0,0.0,0.0
H,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.26497571505666484,0.0,0.0,0.0,0.31516459794927143,0.0,0.0,0.0,0.0,0.3804641122504048,0.0,0.0,0.0,0.397733405288721,0.0,0.0,0.0,0.5596330275229358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3410685375067458,0.0,0.0,0.0
G,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2569920844327177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32559366754617414,0.36939313984168864,0.0,0.0,0.0,0.0,0.38891820580474934,0.0,0.0,0.5440633245382586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33350923482849604,0.0,0.0,0.0
F,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25903083700440527,0.0,0.0,0.0,0.0,0.313215859030837,0.0,0.0,0.0,0.3273127753303965,0.0,0.0,0.0,0.5092511013215859,0.5171806167400881,0.0,0.0,0.0,0.0,0.0,0.0,0.25903083700440527,0.0,0.0,0.0,0.0,0.0
D,0,0,0,0,0,0,1,0,0,0,0.0,0.13703703703703704,0.0,0.0,0.13874643874643874,0.1398860398860399,0.14102564102564102,0.1415954415954416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2116809116809117,0.0,0.0,0.0,0.0,0.0,0.36182336182336183,0.4336182336182336,0.0,0.0,0.0,0.5367521367521367,0.0,0.1737891737891738,0.0,0.0,0.1925925925925926,0.21025641025641026
C,0,0,0,0,0,0,0,1,0,0,0.11317944899478778,0.0,0.12012906428394142,0.12087366592206503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.2558947629684785,0.25738396624472576,0.0,0.0,0.3152146934723256,0.0,0.3827252419955324,0.0,0.46711342764954084,0.0,0.0,0.1514023330851328,0.1568627450980392,0.16381236038719285,0.0,0.18317200297840655
A,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1391367253436219,0.14082469254883048,0.1417892452375211,0.14468290330359296,0.1487822522305281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3670122980467808,0.37183506149023393,0.4205449722691102,0.0,0.0,0.0,0.14709428502531952,0.0,0.15915119363395225,0.16300940438871472,0.0
B,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13516122803630046,0.13612666537941687,0.0,0.13767136512840317,0.14211237690673875,0.0,0.0,0.1471326510909442,0.0,0.0,0.223209113728519,0.0,0.0,0.0,0.0,0.3367445452790114,0.3633906159490249,0.36377679088627146,0.11353543155049237,0.0,0.0,0.12743772929136898,0.13052712878934158,0.14249855184398533
CJ,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
